Product Name,Cost,TheVapeStore Our Price + 15%,Status,Category,Sub Category,SKU
#64,6,6.99,,,,#64
2014 Innokin iClear X.I Pyrex Glass Dual Coil Clearomizer,14.25,16.99,New,Tanks & Coils,Clearomizers,Innokin Iclear X I
"24"" x 17.5"" Clear Acrylic Eliquids Wall Display",74,85.99,New,Accessories,Tools,Wall Display
aGo Atomizer Dry Herb,6.45,7.99,New,,,aGo Atomizer
aGo Dry Kit In Case For Dry Herb,9.99,11.99,New,Dry Devices,Vaporizers,Dry Kit
Aspire Atlantis / Atlantis 2.0 Hollowed Out Sleeve,7.75,8.99,New,,,Atlantis Hollowed Sleeve
Aspire Atlantis 2.0 Sub-ohm,18.95,21.99,New,,,Atlantis 2.0
Aspire Atlantis 5ml Replacement Tank Upgrade,6.95,7.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Atlantis 5ml
Aspire Atlantis Mega Tank,27.99,32.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Aspire Atlantis Mega
Aspire BDC-ETS Replacement Coils / Atomizer Heads (5 pack),4.7,5.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Aspire BDC-ETS
Aspire BVC-ETS Replacement Coils / Atomizer Heads (5 pack),6.99,7.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Aspire BVC-ETS
ASPIRE CF VV BATTERY - CARBON FIBRE - 1600MAH,19.75,22.99,New,Devices,Variable Voltage/Wattage eGo Batteries,CF VV BATTERY
Aspire Nautilus Adjustable Airflow Tank System ,16.99,19.99,New,,,Aspire Nautilus
Aspire Nautilus Mini Replacement T Window ,5.95,6.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Aspire Nautilus Mini T Window
Aspire Nautilus Replacement Stainless Hollowed Out Sleeve,6.75,7.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Nautilus Hollowed Out Sleeve
Aspire Platinum Kit Atlantis Sub ohm Starter Kit,57.95,66.99,New,,,Aspire Platinum Kit
Aspire Premium Starter Kit,41.95,48.99,New,,,Aspire Premium Kit
Aspire Replacement SS Tank For Nautilus,6.45,7.99,New,Tanks & Coils,Clearomizer Replacement Coils ,Aspire Replacement SS Nautilus
Aspire Vivi Nova BDC Clearomizer 3.5 EGT,3.65,4.99,New,Tanks & Coils,Cartomizer Tanks,Aspire Vivi Nova 3.5
Aspire Wire USB Charger 1000mA For Cf Sub,2.95,3.99,New,Accessories ,Chargers,Aspire USB Charger 1000mA
Aspire-ET-S-BDC Bottom Dual Coil Glass Version,5.25,5.99,New,Tanks & Coils,Clearomizers,ET-S Glass
Bird Brains,6,6.99,,,,Bird Brains
Butterscotch Msple Torte,11,12.99,,,,The Hive Butterscotch Msple Torte
Caramel Graham Cookie,11,12.99,,,,The Hive Caramel Graham Cookie
Case Of 12 Disposable eCigar1800 Puffs With Soft Filter,96,110.99,New,,,1800 Puffs Disposable eCigar 
CE2 Clearomizer Ego / Joye510 XL ,8.95,10.99,New,Tanks & Coils,Clearomizers,Joye510 CE2
CE4 Light Up Led Atomizer,1.99,2.99,New,Tanks & Coils,Rebuildable Atomizers,CE4 Light
Ce4/Evod Kit Mix Colors 12pcs In Display Pack ,47,53.99,New,,,Ce4/Evod Kit 12pcs
Coconut Fluff,11,12.99,,,,The Hive Coconut Fluff
Comb The Desert,5.5,6.99,New,E-Liquids,TVS-Premium Flavours,Comb The Desert
Complete Kit E-Cigarette Flags,89.95,103.99,New,,,Flags Sing
Crips,6,6.99,,,,
Dark Horse Carbon Fiber CF Rda,11.95,13.99,New,,,Dark Horse CF
Davey Jones Locker,5.75,6.99,,,,Davey Jones Locker
Delight,6,6.99,,,,Classified Delight E-liquid
DERRINGER REBUILDABLE DRIPPING ATOMIZER CLONE RDA,10.95,12.99,New,,,DERRINGER Clone
Diamond,6,6.99,New,E-Liquids,TVS-Premium Flavours,GemStone Juice Diamond
Dream Creme,6,6.99,,,,Dream Creme
Dse 901 Cartridges,3,3.99,New,,,Dse 901 Cartridges
DUO Style Express E-Cigarette,14.95,17.99,New,,,DUO Style Express
E-Cigarette Acryclic Display Stand Hold 2 Cigs Or Mod (Horizontal),24.95,28.99,New,,,Clear 6 cig Display Vertical
E-Cigarette Acryclic Display Stand Hold 6 Cigs (Horizontal),19,21.99,New,Accessories,Tools,cig Display Horizontal
E-Cigarette Acryclic Display Stand Hold 6 Cigs (Vertical),23.95,27.99,New,Accessories,Tools,6 cig Display Vertical
Efest 18650 2800mAH 35A Battery With 80Amps Pulse,7.95,9.99,New,Accessories,IMR Batteries & Battery Cases,Efest 2800mAH 35A
